venue_slug,artist_name,event_date,doors_time,show_time,ticket_url,poster_url,description,is_low_value
aladdin-theater,"Bonnie ""Prince"" Billy (Night 1)",2027-01-30,19:00:00,20:00:00,https://www.etix.com/ticket/p/68309465/bonnie-princebilly-night-1-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/809937b970c6d9a9d6d1016804be7270.jpg,,False
aladdin-theater,"Bonnie ""Prince"" Billy (Night 2)",2027-01-31,19:00:00,20:00:00,https://www.etix.com/ticket/p/66870556/bonnie-princebilly-night-2-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/809937b970c6d9a9d6d1016804be7270.jpg,,False
aladdin-theater,DENNY LOVE: SHOW LOVE TOUR,2027-02-18,18:00:00,19:00:00,https://www.etix.com/ticket/p/73189164/denny-loveshow-love-tour-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/647c66ee032c60fd66e59972d01fc589.jpg,,False
aladdin-theater,JUDY COLLINS - SWEET JUDY BLUE EYES: FAREWELL,2027-04-10,19:00:00,20:00:00,https://www.etix.com/ticket/p/74207635/judy-collins-sweet-judy-blue-eyesfarewell-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/b3e26d6a2b0fce9495011379e4583c38.jpg,,False
aladdin-theater,"Legends: Keola Beamer & Henry Kapono, with Moanalani Beamer, hula",2027-02-05,19:00:00,20:00:00,https://www.etix.com/ticket/p/97553913/legendskeola-beamer-henry-kaponowith-moanalani-beamerhula-portland-aladdin-theater,https://cdn.etix.com/etix/performance-image/performance_image_1200w/34f69c256a4e004e5e7658d51a5a3336.jpg,,False
crystal-ballroom,FKJ,2027-04-20,,20:00:00,https://www.crystalballroompdx.com/events/277132-fkj/,https://www.crystalballroompdx.com/wp-content/uploads/2026/06/FKJ26-jfSi1k.jpg,,False
crystal-ballroom,Nothing But Thieves,2027-04-01,,20:00:00,https://www.crystalballroompdx.com/events/277040-nothing-but-thieves/,,,False
crystal-ballroom,Portland's Folk Festival,2027-01-29,,18:00:00,https://www.crystalballroompdx.com/events/276751-portlands-folk-festival/,https://www.crystalballroompdx.com/wp-content/uploads/2026/05/FolkFest27-mtrQyx.jpg,,False
crystal-ballroom,Portland's Folk Festival,2027-01-30,,15:00:00,https://www.crystalballroompdx.com/events/276749-portlands-folk-festival/,https://www.crystalballroompdx.com/wp-content/uploads/2026/05/FolkFest27-mtrQyx.jpg,,False
crystal-ballroom,Sylvan Esso,2027-02-22,,20:30:00,https://www.crystalballroompdx.com/events/277205-sylvan-esso/,https://www.crystalballroompdx.com/wp-content/uploads/2026/06/SylvanEsso26-sVTfCL.jpg,,False
crystal-ballroom,Sylvan Esso,2027-02-23,,20:30:00,https://www.crystalballroompdx.com/events/277206-sylvan-esso/,https://www.crystalballroompdx.com/wp-content/uploads/2026/06/SylvanEsso26-sVTfCL.jpg,,False
revolution-hall,FRENCH 79 - CLOSE TO THE GIANTS,2027-05-02,19:00:00,20:00:00,https://www.etix.com/ticket/p/45139740/french-79-close-to-the-giants-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/ee93e34d67b4082da83c86fb0d84827b.jpg,,False
revolution-hall,THE BOUNCING SOULS 'Born To Be Tour' with The Suicide Machines,2027-02-19,18:00:00,19:00:00,https://www.etix.com/ticket/p/65714859/the-bouncing-souls-born-to-be-tourwith-the-suicide-machines-portland-revolution-hall,https://cdn.etix.com/etix/performance-image/performance_image_1200w/b6c99221aa5f5941ddf05cd78920cb0d.jpg,,False
roseland-theater,Blue October: Foiled 20th Anniversary World Tour,2027-02-27,19:00:00,20:00:00,https://roselandpdx.com/event/blue-october-foiled-20th-anniversary-world-tour/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/05/Portland-OR-square-Blue-October-Image-3.jpg,,False
roseland-theater,Blue October: Foiled 20th Anniversary World Tour,2027-02-28,19:00:00,20:00:00,https://roselandpdx.com/event/blue-october-foiled-20th-anniversary-world-tour-2/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/05/Portland-OR-square-Blue-October-Image-3-1.jpg,,False
roseland-theater,Wheeler Walker Jr. – Pullin' Out: The Farewell Tour,2027-03-25,19:00:00,20:00:00,https://roselandpdx.com/event/wheeler-walker-jr-pullin-out-the-farewell-tour/roseland-theater/portland-oregon/,https://roselandpdx.com/wp-content/uploads/2026/06/wheeler-walker-jr-pullin-out-the-farewell-tour.jfif,,False
wonder-ballroom,*POSTPONED until TBD* The Residents – Eskimo Live! Tour,2027-01-31,19:00:00,20:00:00,https://wonderballroom.com/event/postponed-until-tbd-the-residents-eskimo-live-tour/wonder-ballroom/portland-oregon/,https://wonderballroom.com/wp-content/uploads/2025/09/etix-The_1263221759236747.jfif,,False
wonder-ballroom,Anna von Hausswolff: Iconoclasts Tour,2027-01-11,19:00:00,20:00:00,https://wonderballroom.com/event/anna-von-hausswolff-iconoclasts-tour/wonder-ballroom/portland-oregon/,https://wonderballroom.com/wp-content/uploads/2026/03/anna-von-hausswolff.jfif,,False
